"study_site","p_years_miss","p_years_pres","no_records","country","no_species","no_genus","p_spec","p_gen","p_cors"
"Denmark_107000065",49.1,50.9,859,"Denmark",91,105,47.1478463329453,30.8498253783469,22.0023282887078
"Denmark_107000066",50.9,49.1,748,"Denmark",82,83,55.0802139037433,25.8021390374332,19.1176470588235
"Denmark_107000067",56.6,43.4,601,"Denmark",69,70,49.2512479201331,33.2778702163062,17.4708818635607
"Denmark_107000068",67.9,32.1,764,"Denmark",101,96,64.6596858638743,25,10.3403141361257
"Denmark_107000069",64.2,35.8,443,"Denmark",64,64,52.5959367945824,29.1196388261851,18.2844243792325
"Denmark_107000070",62.3,37.7,532,"Denmark",73,87,50.9398496240602,28.7593984962406,20.3007518796992
"Denmark_107000071",66,34,670,"Denmark",83,88,57.7611940298507,28.6567164179104,13.5820895522388
"Denmark_107000072",62.3,37.7,572,"Denmark",68,74,52.6223776223776,29.8951048951049,17.4825174825175
"Denmark_107000073",64.2,35.8,638,"Denmark",104,117,56.8965517241379,25.3918495297806,17.7115987460815
"Denmark_107000074",62.3,37.7,548,"Denmark",73,77,54.7445255474453,27.1897810218978,18.0656934306569
"Denmark_107000075",50.9,49.1,766,"Denmark",68,71,56.7885117493473,25.8485639686684,17.3629242819843
"Denmark_107000076",64.2,35.8,510,"Denmark",82,105,53.7254901960784,25.6862745098039,20.5882352941176
"Denmark_107000077",49.1,50.9,660,"Denmark",66,72,48.9393939393939,28.4848484848485,22.5757575757576
"Denmark_107000078",54.7,45.3,460,"Denmark",52,57,44.1304347826087,35,20.8695652173913
"Denmark_107000079",64.2,35.8,407,"Denmark",62,70,49.8771498771499,29.97542997543,20.1474201474201
"Denmark_107000080",62.3,37.7,668,"Denmark",100,99,63.4730538922156,25.5988023952096,10.9281437125749
"Denmark_107000081",52.8,47.2,614,"Denmark",55,59,46.4169381107492,31.7589576547231,21.8241042345277
"Denmark_107000082",64.2,35.8,714,"Denmark",78,74,63.3053221288515,24.9299719887955,11.7647058823529
"Denmark_107000083",54.7,45.3,631,"Denmark",103,106,67.3534072900158,22.3454833597464,10.3011093502377
"Denmark_107000084",62.3,37.7,421,"Denmark",65,68,46.0807600950119,32.541567695962,21.3776722090261
"Denmark_107000085",64.2,35.8,501,"Denmark",64,70,49.7005988023952,30.7385229540918,19.560878243513
"Denmark_107000086",60.4,39.6,439,"Denmark",73,69,65.6036446469248,24.6013667425968,9.79498861047836
"Denmark_107000087",62.3,37.7,489,"Denmark",71,63,66.8711656441718,23.721881390593,9.40695296523517
"Denmark_107000088",66,34,475,"Denmark",70,75,51.3684210526316,27.3684210526316,21.2631578947368
"Denmark_107000089",77.4,22.6,196,"Denmark",30,42,47.4489795918367,30.6122448979592,21.9387755102041
"Denmark_107000090",50.9,49.1,784,"Denmark",90,94,66.4540816326531,25.5102040816327,8.03571428571429
"Denmark_107000091",49.1,50.9,1308,"Denmark",130,118,72.9357798165138,19.7247706422018,7.3394495412844
"Denmark_107000092",50.9,49.1,469,"Denmark",71,77,65.2452025586354,26.226012793177,8.52878464818763
"Denmark_107000093",52.8,47.2,586,"Denmark",81,89,65.1877133105802,25.7679180887372,9.04436860068259
"Denmark_107000094",52.8,47.2,896,"Denmark",93,88,71.7633928571429,20.4241071428571,7.8125
"Denmark_107000095",52.8,47.2,681,"Denmark",84,82,65.4919236417034,24.0822320117474,10.4258443465492
"Denmark_107000096",50.9,49.1,883,"Denmark",117,115,72.5934314835787,20.9513023782559,6.45526613816535
"Denmark_107000097",67.9,32.1,657,"Denmark",104,104,76.103500761035,16.7427701674277,7.15372907153729
"Denmark_107000098",52.8,47.2,793,"Denmark",85,87,68.8524590163934,23.7074401008827,7.44010088272383
"Denmark_107000099",60.4,39.6,386,"Denmark",55,62,70.2072538860104,20.7253886010363,9.06735751295337
"Denmark_107000100",66,34,423,"Denmark",69,77,68.3215130023641,23.8770685579196,7.80141843971631
"Denmark_107000101",52.8,47.2,963,"Denmark",112,105,68.3281412253375,21.4953271028037,10.1765316718588
"Denmark_107000102",52.8,47.2,730,"Denmark",81,83,69.8630136986301,21.2328767123288,8.9041095890411
"Denmark_107000103",50.9,49.1,1080,"Denmark",114,110,72.4074074074074,20.5555555555556,7.03703703703704
"Denmark_107000104",67.9,32.1,495,"Denmark",66,74,52.1212121212121,28.0808080808081,19.7979797979798
"Denmark_107000105",66,34,464,"Denmark",73,83,49.5689655172414,29.9568965517241,20.4741379310345
"Denmark_107000106",66,34,458,"Denmark",51,60,47.5982532751092,32.7510917030568,19.6506550218341
"Denmark_107000107",62.3,37.7,453,"Denmark",66,76,50.7726269315673,28.9183222958057,20.3090507726269
"Denmark_107000108",56.6,43.4,500,"Denmark",51,71,42,31.6,26.4
"Denmark_107000109",64.2,35.8,399,"Denmark",49,61,44.3609022556391,30.3258145363409,25.31328320802
"Denmark_107000110",64.2,35.8,513,"Denmark",79,86,61.4035087719298,24.3664717348928,14.2300194931774
"Denmark_107000111",54.7,45.3,858,"Denmark",114,113,68.2983682983683,22.027972027972,9.67365967365967
"Denmark_107000112",54.7,45.3,851,"Denmark",102,90,69.3301997649824,21.1515863689777,9.51821386603995
"Denmark_107000113",64.2,35.8,591,"Denmark",85,86,73.9424703891709,17.9357021996616,8.12182741116751
"Denmark_107000114",64.2,35.8,479,"Denmark",79,78,60.7515657620042,25.8872651356994,13.3611691022964
"Denmark_107000115",62.3,37.7,446,"Denmark",63,65,58.9686098654709,26.6816143497758,14.3497757847534
"Denmark_107000116",69.8,30.2,538,"Denmark",88,84,63.7546468401487,23.2342007434944,13.0111524163569
"Denmark_107000117",62.3,37.7,471,"Denmark",75,75,72.3991507430998,17.6220806794055,9.97876857749469
"Denmark_107000118",52.8,47.2,812,"Denmark",75,80,68.2266009852217,23.6453201970443,8.12807881773399
"Denmark_107000119",50.9,49.1,766,"Denmark",112,111,71.5404699738903,22.4543080939948,6.00522193211488
"Denmark_107000120",52.8,47.2,947,"Denmark",105,96,72.6504751847941,19.0073917634636,8.34213305174234
"Denmark_107000121",52.8,47.2,592,"Denmark",68,78,71.2837837837838,21.1148648648649,7.60135135135135
"Denmark_107000122",66,34,557,"Denmark",74,79,72.7109515260323,20.6463195691203,6.6427289048474
"Denmark_107000123",62.3,37.7,337,"Denmark",51,60,61.4243323442137,29.3768545994065,9.19881305637982
"Denmark_107000124",60.4,39.6,328,"Denmark",54,62,68.5975609756098,22.2560975609756,9.14634146341463
"Denmark_107000125",52.8,47.2,910,"Denmark",111,122,69.2307692307692,21.5384615384615,9.23076923076923
"Denmark_107000126",50.9,49.1,868,"Denmark",98,105,63.2488479262673,27.4193548387097,9.33179723502304
"Denmark_107000127",50.9,49.1,549,"Denmark",94,93,69.2167577413479,21.6757741347905,9.10746812386157
"Denmark_107000128",64.2,35.8,342,"Denmark",45,55,59.6491228070175,32.7485380116959,7.60233918128655
"Denmark_107000129",47.2,52.8,1047,"Denmark",111,113,71.251193887297,21.585482330468,7.16332378223496
"Denmark_107000130",81.1,18.9,317,"Denmark",76,73,75.0788643533123,16.403785488959,8.51735015772871
"Denmark_107000131",52.8,47.2,827,"Denmark",89,103,49.2140266021765,29.9879081015719,20.7980652962515
"Denmark_107000132",69.8,30.2,355,"Denmark",50,63,47.0422535211268,28.7323943661972,24.2253521126761
"Denmark_107000133",60.4,39.6,328,"Denmark",41,63,42.0731707317073,25,32.9268292682927
"Denmark_107000134",66,34,639,"Denmark",72,77,58.0594679186229,27.6995305164319,14.2410015649452
"Denmark_107000135",62.3,37.7,565,"Denmark",66,73,54.6902654867257,27.0796460176991,18.2300884955752
"Denmark_107000136",67.9,32.1,653,"Denmark",96,101,62.1745788667688,26.7993874425727,11.0260336906585
"Denmark_107000137",64.2,35.8,533,"Denmark",87,91,59.2870544090056,23.2645403377111,17.4484052532833
"Denmark_107000138",50.9,49.1,824,"Denmark",93,99,60.1941747572816,30.0970873786408,9.70873786407767
"Denmark_107000139",56.6,43.4,859,"Denmark",105,89,71.5948777648428,19.906868451688,8.49825378346915
"Denmark_107000140",64.2,35.8,396,"Denmark",53,65,51.010101010101,35.3535353535354,13.6363636363636
"Denmark_107000141",54.7,45.3,734,"Denmark",89,94,61.1716621253406,27.1117166212534,11.716621253406
"Denmark_107000142",52.8,47.2,954,"Denmark",93,94,65.7232704402516,24.3186582809224,9.958071278826
"Denmark_107000143",69.8,30.2,773,"Denmark",116,109,62.6131953428202,26.7787839586028,10.608020698577
"Denmark_107000144",67.9,32.1,612,"Denmark",95,101,59.9673202614379,26.3071895424837,13.7254901960784
"Denmark_107000145",66,34,520,"Denmark",68,81,57.8846153846154,28.0769230769231,14.0384615384615
"Denmark_107000146",66,34,565,"Denmark",86,99,54.5132743362832,29.5575221238938,15.929203539823
"Denmark_107000147",62.3,37.7,796,"Denmark",121,125,60.929648241206,25,14.070351758794
"Denmark_107000148",67.9,32.1,579,"Denmark",88,93,62.0034542314335,25.73402417962,12.2625215889465
"Denmark_107000149",56.6,43.4,1210,"Denmark",132,137,66.4462809917355,24.9586776859504,8.59504132231405
"Denmark_107000150",56.6,43.4,597,"Denmark",70,73,65.1591289782245,23.1155778894472,11.7252931323283
"Denmark_107000151",56.6,43.4,764,"Denmark",78,88,67.0157068062827,23.1675392670157,9.81675392670157
"Denmark_107000152",58.5,41.5,734,"Denmark",94,96,64.5776566757493,25.7493188010899,9.67302452316076
"Denmark_107000153",62.3,37.7,544,"Denmark",77,81,61.0294117647059,26.8382352941176,12.1323529411765
"Denmark_107000154",66,34,370,"Denmark",53,71,49.1891891891892,35.6756756756757,15.1351351351351
"Denmark_107000155",66,34,463,"Denmark",72,67,63.9308855291577,26.3498920086393,9.71922246220302
"Denmark_107000156",66,34,359,"Denmark",62,68,57.3816155988858,30.6406685236769,11.9777158774373
"Denmark_107000157",64.2,35.8,550,"Denmark",72,82,59.4545454545455,26.7272727272727,13.8181818181818
"Denmark_107000158",66,34,563,"Denmark",92,95,55.595026642984,27.1758436944938,17.2291296625222
"Denmark_107000159",64.2,35.8,558,"Denmark",75,85,53.2258064516129,29.5698924731183,17.2043010752688
"Denmark_107000160",84.9,15.1,116,"Denmark",27,40,43.1034482758621,29.3103448275862,27.5862068965517
"Denmark_107000161",64.2,35.8,336,"Denmark",49,63,48.8095238095238,26.4880952380952,24.702380952381
"Denmark_107000162",64.2,35.8,529,"Denmark",75,79,53.4971644612476,28.9224952741021,17.5803402646503
"Denmark_107000163",64.2,35.8,343,"Denmark",54,66,57.1428571428571,26.530612244898,16.3265306122449
"Denmark_107000164",66,34,570,"Denmark",76,81,64.7368421052632,20,15.2631578947368
"Denmark_107000165",66,34,329,"Denmark",50,60,62.3100303951368,25.8358662613982,11.854103343465
"Denmark_107000166",66,34,407,"Denmark",76,84,64.3734643734644,24.3243243243243,11.3022113022113
"Denmark_107000167",62.3,37.7,554,"Denmark",81,92,56.8592057761733,24.7292418772563,18.4115523465704
"Denmark_107000168",64.2,35.8,557,"Denmark",100,97,62.4775583482944,22.262118491921,15.2603231597846
"Denmark_107000169",66,34,537,"Denmark",101,113,61.2662942271881,24.5810055865922,14.1527001862197
"Denmark_107000170",52.8,47.2,729,"Denmark",89,94,64.0603566529493,23.0452674897119,12.8943758573388
"Denmark_107000171",64.2,35.8,282,"Denmark",43,51,54.6099290780142,26.9503546099291,18.4397163120567
"Denmark_107000172",66,34,385,"Denmark",48,62,53.5064935064935,29.3506493506493,17.1428571428571
"Denmark_107000173",66,34,430,"Denmark",67,77,59.3023255813954,26.2790697674419,14.4186046511628
"Denmark_107000174",54.7,45.3,628,"Denmark",84,88,68.7898089171974,20.2229299363057,10.9872611464968
"Denmark_107000175",62.3,37.7,597,"Denmark",101,101,59.2964824120603,24.7906197654941,15.9128978224456
"Denmark_107000176",64.2,35.8,718,"Denmark",92,94,66.5738161559889,22.0055710306407,11.4206128133705
"Denmark_107000177",64.2,35.8,508,"Denmark",76,78,60.6299212598425,23.6220472440945,15.748031496063
"Denmark_107000178",67.9,32.1,387,"Denmark",93,99,56.8475452196382,26.6149870801034,16.5374677002584
"Denmark_107000179",71.7,28.3,498,"Denmark",76,85,64.2570281124498,23.4939759036145,12.2489959839357
"Denmark_107000180",64.2,35.8,477,"Denmark",51,64,53.8784067085954,27.0440251572327,19.0775681341719
"Denmark_107000181",52.8,47.2,562,"Denmark",53,61,50.8896797153025,30.0711743772242,19.0391459074733
"Denmark_107000182",56.6,43.4,819,"Denmark",78,89,58.7301587301587,26.984126984127,14.2857142857143
"Denmark_107000183",58.5,41.5,850,"Denmark",90,94,61.1764705882353,25.4117647058824,13.4117647058824
"Denmark_107000184",71.7,28.3,394,"Denmark",59,73,51.5228426395939,25.1269035532995,23.3502538071066
"Denmark_107000185",56.6,43.4,860,"Denmark",76,87,54.8837209302326,27.2093023255814,17.906976744186
"Denmark_107000186",56.6,43.4,941,"Denmark",95,110,55.3666312433581,29.6493092454835,14.9840595111583
"Denmark_107000187",56.6,43.4,825,"Denmark",85,100,58.9090909090909,26.1818181818182,14.9090909090909
"Denmark_107000188",64.2,35.8,800,"Denmark",87,95,59.125,26,14.875
"Denmark_107000189",67.9,32.1,393,"Denmark",53,65,52.9262086513995,24.9363867684478,22.1374045801527
"Denmark_107000190",71.7,28.3,344,"Denmark",47,60,50.8720930232558,24.7093023255814,24.4186046511628
"Denmark_107000191",69.8,30.2,624,"Denmark",74,82,58.974358974359,24.6794871794872,16.3461538461538
"Denmark_107000192",73.6,26.4,436,"Denmark",58,67,52.9816513761468,23.8532110091743,23.1651376146789
"Denmark_107000193",60.4,39.6,643,"Denmark",68,78,58.1648522550544,25.5054432348367,16.3297045101089
"Denmark_107000194",69.8,30.2,528,"Denmark",68,74,61.9318181818182,21.0227272727273,17.0454545454545
"Denmark_107000195",71.7,28.3,473,"Denmark",55,67,55.6025369978858,25.5813953488372,18.816067653277
"Denmark_107000196",56.6,43.4,820,"Denmark",80,88,56.4634146341463,26.9512195121951,16.5853658536585
"Denmark_107000197",52.8,47.2,672,"Denmark",67,82,48.2142857142857,34.5238095238095,17.2619047619048
"Denmark_107000198",54.7,45.3,512,"Denmark",52,61,52.34375,33.7890625,13.8671875
"Denmark_107000199",50.9,49.1,573,"Denmark",55,74,47.4694589877836,36.1256544502618,16.4048865619546
"Denmark_107000200",66,34,398,"Denmark",51,69,47.4874371859297,28.894472361809,23.6180904522613
"Denmark_107000201",50.9,49.1,679,"Denmark",75,88,48.4536082474227,27.6877761413844,23.8586156111929
"Denmark_107000202",54.7,45.3,759,"Denmark",67,80,54.9407114624506,29.6442687747036,15.4150197628458
"Denmark_107000203",64.2,35.8,716,"Denmark",67,79,57.5418994413408,28.3519553072626,14.1061452513966
"Denmark_107000204",52.8,47.2,874,"Denmark",83,98,58.0091533180778,28.2608695652174,13.7299771167048
"Denmark_107000205",62.3,37.7,397,"Denmark",44,57,51.1335012594458,28.463476070529,20.4030226700252
"Denmark_107000206",66,34,468,"Denmark",50,66,46.7948717948718,35.8974358974359,17.3076923076923
"Denmark_107000207",54.7,45.3,659,"Denmark",51,63,54.1729893778452,31.2594840667678,14.5675265553869
"Denmark_107000208",52.8,47.2,766,"Denmark",72,91,55.2219321148825,28.7206266318538,16.0574412532637
"Denmark_107000209",62.3,37.7,521,"Denmark",58,77,46.6410748560461,33.7811900191939,19.5777351247601
"Denmark_107000210",60.4,39.6,443,"Denmark",63,76,46.9525959367946,31.1512415349887,21.8961625282167
"Denmark_107000211",56.6,43.4,367,"Denmark",26,41,43.0517711171662,29.700272479564,27.2479564032698
"Denmark_107000212",50.9,49.1,626,"Denmark",50,70,46.6453674121406,32.4281150159744,20.926517571885
"Denmark_107000213",60.4,39.6,820,"Denmark",90,96,57.1951219512195,28.2926829268293,14.5121951219512
"Denmark_107000214",60.4,39.6,589,"Denmark",61,73,58.7436332767402,26.8251273344652,14.4312393887946
"Denmark_107000215",69.8,30.2,493,"Denmark",61,75,50.5070993914807,32.657200811359,16.8356997971602
"Denmark_107000216",52.8,47.2,792,"Denmark",69,83,55.8080808080808,31.1868686868687,13.0050505050505
"Denmark_107000217",50.9,49.1,1032,"Denmark",96,106,58.8178294573643,27.6162790697674,13.5658914728682
"Denmark_107000218",50.9,49.1,935,"Denmark",82,97,56.6844919786096,29.4117647058824,13.903743315508
"Denmark_107000219",64.2,35.8,459,"Denmark",55,67,53.1590413943355,30.9368191721133,15.9041394335512
"Denmark_107000220",50.9,49.1,663,"Denmark",53,68,52.9411764705882,31.0708898944193,15.9879336349925
"Denmark_107000221",49.1,50.9,1076,"Denmark",105,117,60.6877323420074,25.2788104089219,14.0334572490706
"Denmark_107000222",50.9,49.1,965,"Denmark",85,108,51.0880829015544,30.4663212435233,18.4455958549223
"Denmark_107000223",52.8,47.2,724,"Denmark",66,77,53.0386740331492,24.7237569060773,22.2375690607735
"Denmark_107000224",66,34,669,"Denmark",85,95,58.5949177877429,27.0553064275037,14.3497757847534
"Denmark_107000225",75.5,24.5,223,"Denmark",30,44,39.4618834080717,33.1838565022422,27.3542600896861
"Denmark_107000226",52.8,47.2,616,"Denmark",63,75,49.8376623376623,31.1688311688312,18.9935064935065
"Denmark_107000227",52.8,47.2,843,"Denmark",87,88,55.2787663107948,25.5041518386714,19.2170818505338
"Denmark_107000228",73.6,26.4,326,"Denmark",42,60,43.8650306748466,30.9815950920245,25.1533742331288
"Denmark_107000229",50.9,49.1,691,"Denmark",65,77,48.0463096960926,25.0361794500724,26.917510853835
"Denmark_107000230",62.3,37.7,363,"Denmark",32,51,46.0055096418733,24.2424242424242,29.7520661157025
"Denmark_107000231",52.8,47.2,778,"Denmark",77,93,47.9434447300771,29.305912596401,22.7506426735219
"Denmark_107000232",62.3,37.7,413,"Denmark",46,69,37.046004842615,33.1719128329298,29.7820823244552
"Denmark_107000233",58.5,41.5,610,"Denmark",64,81,45.9016393442623,29.016393442623,25.0819672131148
"Denmark_107000234",66,34,515,"Denmark",66,75,50.6796116504854,27.1844660194175,22.1359223300971
"Denmark_107000235",73.6,26.4,222,"Denmark",34,48,40.5405405405405,33.7837837837838,25.6756756756757
"Denmark_107000236",73.6,26.4,249,"Denmark",31,50,44.578313253012,32.1285140562249,23.2931726907631
"Denmark_107000237",67.9,32.1,376,"Denmark",57,61,53.7234042553192,25.7978723404255,20.4787234042553
"Denmark_107000238",62.3,37.7,568,"Denmark",69,89,48.5915492957746,29.4014084507042,22.0070422535211
"Denmark_107000239",52.8,47.2,606,"Denmark",50,73,39.9339933993399,32.3432343234323,27.7227722772277
"Denmark_107000240",71.7,28.3,316,"Denmark",45,61,37.3417721518987,37.0253164556962,25.6329113924051
"Denmark_107000241",52.8,47.2,818,"Denmark",79,96,48.6552567237164,27.9951100244499,23.3496332518337
"Denmark_107000242",64.2,35.8,384,"Denmark",54,65,53.3854166666667,23.4375,23.1770833333333
"Denmark_107000243",60.4,39.6,461,"Denmark",54,64,59.002169197397,21.4750542299349,19.5227765726681
"Denmark_107000244",62.3,37.7,476,"Denmark",59,70,53.1512605042017,25.8403361344538,21.0084033613445
"Denmark_107000245",66,34,407,"Denmark",48,54,54.7911547911548,25.3071253071253,19.9017199017199
"Denmark_107000246",62.3,37.7,488,"Denmark",49,56,61.4754098360656,20.9016393442623,17.6229508196721
"Denmark_107000247",60.4,39.6,441,"Denmark",59,72,55.7823129251701,25.6235827664399,18.59410430839
"Denmark_107000248",64.2,35.8,422,"Denmark",56,68,52.8436018957346,27.7251184834123,19.4312796208531
"Estonia_101000001",84.9,15.1,302,"Estonia",66,68,76.8211920529801,14.9006622516556,8.27814569536424
"Estonia_101000002",84.9,15.1,197,"Estonia",34,38,66.497461928934,17.258883248731,16.243654822335
"Estonia_101000003",84.9,15.1,332,"Estonia",70,77,67.7710843373494,21.6867469879518,10.5421686746988
"Estonia_101000004",84.9,15.1,262,"Estonia",64,63,71.3740458015267,16.793893129771,11.8320610687023
"Estonia_101000005",84.9,15.1,296,"Estonia",58,66,72.6351351351351,17.9054054054054,9.45945945945946
"Estonia_101000006",84.9,15.1,219,"Estonia",46,51,66.6666666666667,19.1780821917808,14.1552511415525
"Estonia_101000007",84.9,15.1,323,"Estonia",77,81,71.8266253869969,20.7430340557276,7.43034055727554
"Estonia_101000008",81.1,18.9,323,"Estonia",58,64,65.6346749226006,21.9814241486068,12.3839009287926
"Estonia_101000009",84.9,15.1,209,"Estonia",50,56,67.4641148325359,19.1387559808612,13.3971291866029
"Estonia_101000010",83,17,327,"Estonia",56,65,67.2782874617737,19.2660550458716,13.4556574923547
"Finland_119000001",71.7,28.3,481,"Finland",36,47,58.4199584199584,27.4428274428274,14.1372141372141
"Finland_119000002",71.7,28.3,543,"Finland",48,64,58.0110497237569,31.8600368324125,10.1289134438306
"Finland_119000003",71.7,28.3,491,"Finland",31,47,51.3238289205703,38.2892057026477,10.3869653767821
"Finland_119000004",71.7,28.3,481,"Finland",32,43,49.2723492723493,35.5509355509356,15.1767151767152
"Finland_119000005",71.7,28.3,467,"Finland",31,41,52.4625267665953,32.762312633833,14.7751605995717
"Finland_119000006",71.7,28.3,552,"Finland",45,58,56.3405797101449,33.1521739130435,10.5072463768116
"Finland_119000007",71.7,28.3,527,"Finland",34,46,49.146110056926,38.5199240986717,12.3339658444023
"Finland_119000008",71.7,28.3,411,"Finland",36,47,54.9878345498783,28.7104622871046,16.301703163017
"Finland_119000009",71.7,28.3,408,"Finland",29,46,52.6960784313725,34.5588235294118,12.7450980392157
"Finland_119000010",71.7,28.3,386,"Finland",42,52,52.8497409326425,32.1243523316062,15.0259067357513
"France_100000001",41.5,58.5,950,"France",37,70,26.6315789473684,42.5263157894737,30.8421052631579
"France_100000002",69.8,30.2,451,"France",29,57,30.3769401330377,38.8026607538803,30.820399113082
"France_100000003",84.9,15.1,198,"France",1,1,0,0,100
"France_100000004",83,17,213,"France",1,1,0,0,100
"France_100000005",81.1,18.9,282,"France",1,1,0,0,100
"France_100000006",81.1,18.9,250,"France",1,1,0,0,100
"France_100000007",77.4,22.6,391,"France",1,1,0,0,100
"France_100000009",77.4,22.6,414,"France",1,1,0,0,100
"France_100000010",79.2,20.8,307,"France",1,1,0,0,100
"France_100000011",79.2,20.8,283,"France",2,2,2.47349823321555,0,97.5265017667845
"France_100000012",77.4,22.6,365,"France",1,1,0,0,100
"France_100000013",77.4,22.6,454,"France",1,1,0,0,100
"France_100000014",75.5,24.5,359,"France",1,1,0,0,100
"France_100000015",71.7,28.3,364,"France",1,1,0,0,100
"France_100000016",66,34,531,"France",1,1,0,0,100
"France_100000017",73.6,26.4,425,"France",1,1,0,0,100
"France_100000018",64.2,35.8,492,"France",1,1,0,0,100
"France_100000019",71.7,28.3,512,"France",1,1,0,0,100
"France_100000020",71.7,28.3,530,"France",1,1,0,0,100
"France_100000021",71.7,28.3,496,"France",1,1,0,0,100
"France_100000022",71.7,28.3,457,"France",1,1,0,0,100
"France_100000023",71.7,28.3,384,"France",1,1,0,0,100
"France_100000024",77.4,22.6,362,"France",1,1,0,0,100
"France_100000025",71.7,28.3,417,"France",1,1,0,0,100
"France_100000026",75.5,24.5,358,"France",1,1,0,0,100
"France_100000027",77.4,22.6,406,"France",1,1,0,0,100
"France_100000028",73.6,26.4,486,"France",1,1,0,0,100
"France_100000029",71.7,28.3,569,"France",1,1,0,0,100
"France_100000030",67.9,32.1,554,"France",1,1,0,0,100
"France_100000031",69.8,30.2,332,"France",1,1,0,0,100
"France_100000032",71.7,28.3,518,"France",1,2,0,0.193050193050193,99.8069498069498
"France_100000033",67.9,32.1,463,"France",1,1,0,0,100
"France_100000034",81.1,18.9,308,"France",1,1,0,0,100
"France_100000035",73.6,26.4,446,"France",1,2,0,0.224215246636771,99.7757847533632
"France_100000036",66,34,608,"France",1,1,0,0,100
"France_100000037",66,34,595,"France",1,1,0,0,100
"France_100000038",75.5,24.5,415,"France",1,1,0,0,100
"France_100000039",67.9,32.1,445,"France",1,1,0,0,100
"France_100000040",75.5,24.5,478,"France",1,2,0,0.209205020920502,99.7907949790795
"France_100000041",64.2,35.8,719,"France",1,1,0,0,100
"France_100000042",75.5,24.5,460,"France",1,1,0,0,100
"France_100000043",60.4,39.6,645,"France",1,1,0,0,100
"France_100000044",66,34,571,"France",1,2,0,0.875656742556918,99.1243432574431
"France_100000045",69.8,30.2,378,"France",1,1,0,0,100
"France_100000046",62.3,37.7,596,"France",1,1,0,0,100
"France_100000047",62.3,37.7,505,"France",1,2,0,0.396039603960396,99.6039603960396
"France_100000048",71.7,28.3,323,"France",1,1,0,0,100
"France_100000049",64.2,35.8,591,"France",1,1,0,0,100
"France_100000050",66,34,389,"France",1,1,0,0,100
"France_100000051",71.7,28.3,553,"France",1,1,0,0,100
"France_100000052",77.4,22.6,341,"France",1,1,0,0,100
"France_100000053",81.1,18.9,330,"France",1,1,0,0,100
"France_100000054",75.5,24.5,333,"France",1,1,0,0,100
"France_100000055",69.8,30.2,555,"France",1,2,0,0.18018018018018,99.8198198198198
"France_100000056",64.2,35.8,479,"France",1,1,0,0,100
"France_100000057",62.3,37.7,691,"France",1,1,0,0,100
"France_100000058",81.1,18.9,243,"France",1,1,0,0,100
"France_100000059",60.4,39.6,543,"France",1,1,0,0,100
"France_100000060",64.2,35.8,572,"France",1,1,0,0,100
"France_100000061",75.5,24.5,332,"France",1,1,0,0,100
"France_100000062",79.2,20.8,283,"France",1,1,0,0,100
"France_100000063",69.8,30.2,573,"France",1,2,0,0.174520069808028,99.825479930192
"France_100000064",73.6,26.4,337,"France",1,1,0,0,100
"France_100000065",75.5,24.5,376,"France",1,1,0,0,100
"France_100000066",71.7,28.3,390,"France",1,1,0,0,100
"France_100000067",71.7,28.3,538,"France",1,1,0,0,100
"France_100000068",71.7,28.3,430,"France",1,1,0,0,100
"France_100000069",71.7,28.3,520,"France",1,1,0,0,100
"France_100000070",79.2,20.8,364,"France",1,1,0,0,100
"France_100000071",73.6,26.4,414,"France",1,1,0,0,100
"France_100000072",71.7,28.3,442,"France",1,1,0,0,100
"France_100000073",77.4,22.6,282,"France",1,1,0,0,100
"France_100000074",83,17,191,"France",1,1,0,0,100
"France_100000075",83,17,234,"France",1,1,0,0,100
"France_100000076",75.5,24.5,349,"France",1,1,0,0,100
"France_100000077",79.2,20.8,282,"France",1,1,0,0,100
"France_100000078",75.5,24.5,324,"France",1,1,0,0,100
"France_100000079",73.6,26.4,346,"France",1,1,0,0,100
"France_100000080",73.6,26.4,378,"France",1,1,0,0,100
"France_100000081",71.7,28.3,437,"France",1,1,0,0,100
"France_100000082",75.5,24.5,433,"France",1,1,0,0,100
"France_100000083",75.5,24.5,376,"France",1,1,0,0,100
"France_100000084",71.7,28.3,547,"France",1,1,0,0,100
"France_100000085",73.6,26.4,426,"France",1,1,0,0,100
"France_100000086",73.6,26.4,396,"France",1,1,0,0,100
"France_100000088",77.4,22.6,330,"France",1,2,0,0.303030303030303,99.6969696969697
"France_100000089",71.7,28.3,436,"France",1,1,0,0,100
"France_100000090",71.7,28.3,402,"France",1,1,0,0,100
"France_100000091",75.5,24.5,448,"France",1,2,0,1.5625,98.4375
"France_100000092",79.2,20.8,439,"France",1,2,0,1.36674259681093,98.6332574031891
"France_100000093",71.7,28.3,359,"France",2,2,0.557103064066852,0,99.4428969359331
"France_100000094",77.4,22.6,334,"France",1,1,0,0,100
"France_100000095",79.2,20.8,301,"France",1,1,0,0,100
"France_100000096",73.6,26.4,477,"France",1,1,0,0,100
"France_100000097",73.6,26.4,376,"France",1,1,0,0,100
"France_100000098",75.5,24.5,337,"France",1,1,0,0,100
"France_100000099",73.6,26.4,412,"France",1,2,0,0.242718446601942,99.7572815533981
"France_100000100",79.2,20.8,307,"France",1,2,0,1.62866449511401,98.371335504886
"France_100000101",79.2,20.8,253,"France",1,2,0,1.58102766798419,98.4189723320158
