"study_site","p_years_miss","p_years_pres","no_records","country","no_species","no_genus","p_spec","p_gen","p_cors"
"UK_109000381",79.2,20.8,323,"UK",64,50,71.8266253869969,12.0743034055728,16.0990712074303
"UK_109000382",71.7,28.3,409,"UK",74,68,71.8826405867971,15.8924205378973,12.2249388753056
"UK_109000383",79.2,20.8,177,"UK",25,33,50.8474576271186,22.0338983050847,27.1186440677966
"UK_109000384",64.2,35.8,384,"UK",42,48,58.8541666666667,21.3541666666667,19.7916666666667
"UK_109000385",81.1,18.9,140,"UK",30,38,42.8571428571429,22.1428571428571,35
"UK_109000386",81.1,18.9,345,"UK",63,63,70.1449275362319,14.2028985507246,15.6521739130435
"UK_109000387",73.6,26.4,372,"UK",57,64,62.9032258064516,18.5483870967742,18.5483870967742
"UK_109000389",66,34,422,"UK",54,62,59.2417061611374,18.2464454976303,22.5118483412322
"UK_109000390",69.8,30.2,322,"UK",44,49,54.6583850931677,19.8757763975155,25.4658385093168
"UK_109000392",69.8,30.2,644,"UK",69,71,69.0993788819876,17.3913043478261,13.5093167701863
"UK_109000393",69.8,30.2,446,"UK",61,66,67.0403587443946,16.3677130044843,16.5919282511211
"UK_109000394",69.8,30.2,498,"UK",55,59,63.4538152610442,18.6746987951807,17.8714859437751
"UK_109000395",77.4,22.6,393,"UK",55,58,69.4656488549618,13.9949109414758,16.5394402035623
"UK_109000396",69.8,30.2,594,"UK",69,69,69.6969696969697,16.1616161616162,14.1414141414141
"UK_109000397",77.4,22.6,406,"UK",61,61,71.9211822660099,13.5467980295567,14.5320197044335
"UK_109000398",75.5,24.5,472,"UK",65,67,71.6101694915254,13.135593220339,15.2542372881356
"UK_109000399",77.4,22.6,296,"UK",44,52,59.7972972972973,19.5945945945946,20.6081081081081
"UK_109000400",75.5,24.5,269,"UK",44,46,54.6468401486989,19.7026022304833,25.6505576208178
"UK_109000401",79.2,20.8,311,"UK",53,59,70.096463022508,14.1479099678457,15.7556270096463
"UK_109000403",75.5,24.5,217,"UK",27,34,44.7004608294931,26.2672811059908,29.0322580645161
"UK_109000404",81.1,18.9,253,"UK",40,46,60.4743083003953,16.99604743083,22.5296442687747
"UK_109000405",81.1,18.9,205,"UK",26,32,52.1951219512195,22.9268292682927,24.8780487804878
"UK_109000406",81.1,18.9,265,"UK",42,49,59.2452830188679,21.8867924528302,18.8679245283019
"UK_109000407",81.1,18.9,230,"UK",35,38,58.695652173913,20.4347826086957,20.8695652173913
"UK_109000408",77.4,22.6,315,"UK",44,48,59.3650793650794,19.6825396825397,20.952380952381
"UK_109000409",81.1,18.9,237,"UK",37,42,59.915611814346,20.6751054852321,19.4092827004219
"UK_109000410",81.1,18.9,216,"UK",38,38,57.8703703703704,18.9814814814815,23.1481481481481
"UK_109000411",75.5,24.5,558,"UK",75,75,60.2150537634409,20.9677419354839,18.8172043010753
"UK_109000418",69.8,30.2,439,"UK",41,43,72.8929384965831,14.3507972665148,12.7562642369021
"UK_109000419",79.2,20.8,495,"UK",69,65,44.2424242424242,12.1212121212121,43.6363636363636
"UK_109000420",77.4,22.6,532,"UK",64,59,42.6691729323308,8.64661654135338,48.6842105263158
"UK_109000421",73.6,26.4,611,"UK",70,74,41.0801963993453,9.16530278232406,49.7545008183306
"UK_109000422",75.5,24.5,488,"UK",64,66,38.7295081967213,10.655737704918,50.6147540983607
"UK_109000423",75.5,24.5,539,"UK",67,63,42.4860853432282,13.543599257885,43.9703153988868
"UK_109000424",83,17,485,"UK",75,72,56.2886597938144,14.020618556701,29.6907216494845
"UK_109000425",83,17,484,"UK",79,72,50.6198347107438,16.5289256198347,32.8512396694215
"UK_109000426",73.6,26.4,290,"UK",36,33,32.7586206896552,9.31034482758621,57.9310344827586
"UK_109000427",73.6,26.4,659,"UK",71,68,38.2397572078907,10.6221547799696,51.1380880121396
"UK_109000428",73.6,26.4,464,"UK",53,55,39.4396551724138,9.26724137931035,51.2931034482759
"UK_109000429",75.5,24.5,428,"UK",53,54,33.6448598130841,7.71028037383178,58.6448598130841
"UK_109000430",79.2,20.8,459,"UK",72,59,39.4335511982571,10.239651416122,50.3267973856209
