"species","no_detections","no_countries","p_years_miss","p_years_pres","no_sampledyears"
"Baetis vernus",897,12,22.6,77.4,41
"Balanus improvisus",1,1,98.1,1.9,1
"Barbronia weberi",3,1,96.2,3.8,2
"Bathyomphalus contortus",1068,9,30.2,69.8,37
"Batracobdelloides moogi",2,1,96.2,3.8,2
"Bazarella neglecta",6,1,90.6,9.4,5
"Bazarella subneglecta",2,1,96.2,3.8,2
"Bdellocephala punctata",7,3,86.8,13.2,7
"Beraea maurus",48,5,66,34,18
"Beraea pullata",45,4,64.2,35.8,19
"Beraeodes minutus",228,8,30.2,69.8,37
"Berdeniella freyi",3,1,94.3,5.7,3
"Berosus frontifoveatus",6,1,90.6,9.4,5
"Berosus geminus",1,1,98.1,1.9,1
"Berosus luridus",3,1,98.1,1.9,1
"Berosus signaticollis",11,2,86.8,13.2,7
"Bidessus nasutus",2,1,96.2,3.8,2
"Bidessus unistriatus",1,1,98.1,1.9,1
"Bithynia leachii",620,8,28.3,71.7,38
"Bithynia tentaculata",3491,10,7.5,92.5,49
"Bithynia transsilvanica",1,1,98.1,1.9,1
"Blepharicera fasciata",2,1,98.1,1.9,1
"Borysthenia naticina",58,1,73.6,26.4,14
"Bothrioneurum vejdovskyanum",10,1,88.7,11.3,6
"Boyeria irene",219,1,67.9,32.1,17
"Brachycentrus maculatus",307,3,35.8,64.2,34
"Brachycentrus montanus",29,3,62.3,37.7,20
"Brachycentrus subnubilus",602,11,37.7,62.3,33
"Brachycercus harrisella",30,5,64.2,35.8,19
"Brachyptera risi",1619,9,45.3,54.7,29
"Brachyptera seticornis",18,3,67.9,32.1,17
"Brachytron pratense",33,3,69.8,30.2,16
"Branchiobdella parasita",1,1,98.1,1.9,1
"Branchiura sowerbyi",182,6,58.5,41.5,22
"Brillia bifida",1655,5,34,66,35
"Brillia flavifrons",160,2,47.2,52.8,28
"Brillia longifurca",55,2,43.4,56.6,30
"Brychius elevatus",248,6,39.6,60.4,32
"Bythinella austriaca",5,1,90.6,9.4,5
"Caenis beskidensis",10,2,84.9,15.1,8
"Caenis horaria",848,11,24.5,75.5,40
"Caenis lactea",8,3,86.8,13.2,7
"Caenis luctuosa",2344,13,30.2,69.8,37
"Caenis macrura",114,10,39.6,60.4,32
"Caenis pseudorivulorum",75,5,58.5,41.5,22
"Caenis pusilla",14,1,84.9,15.1,8
"Caenis rivulorum",1217,10,47.2,52.8,28
"Caenis robusta",218,6,41.5,58.5,31
"Calamoceras marsupus",17,1,83,17,9
"Callicorixa praeusta",87,6,47.2,52.8,28
"Callicorixa wollastoni",33,1,75.5,24.5,13
"Calopteryx virgo",714,12,50.9,49.1,26
"Capnia atra",17,2,79.2,20.8,11
"Capnia pygmaea",33,2,79.2,20.8,11
"Capnia vidua",3,1,94.3,5.7,3
"Capnopsis schilleri",381,4,54.7,45.3,24
"Cataclysta lemnata",238,5,49.1,50.9,27
"Centroptilum luteolum",1425,15,28.3,71.7,38
"Ceraclea albimacula",14,4,75.5,24.5,13
"Ceraclea annulicornis",117,7,50.9,49.1,26
"Ceraclea dissimilis",497,7,28.3,71.7,38
"Ceraclea excisa",19,2,77.4,22.6,12
"Ceraclea fulva",6,3,88.7,11.3,6
"Ceraclea nigronervosa",38,7,66,34,18
"Ceraclea perplexa",1,1,98.1,1.9,1
"Ceraclea senilis",17,4,75.5,24.5,13
"Ceratopsyche newae",19,2,75.5,24.5,13
"Ceratopsyche silfvenii",187,4,52.8,47.2,25
"Cercobrachys minutus",2,1,96.2,3.8,2
"Cercyon analis",1,1,98.1,1.9,1
"Cercyon convexiusculus",1,1,98.1,1.9,1
"Cercyon granarius",1,1,98.1,1.9,1
"Cercyon impressus",1,1,98.1,1.9,1
"Cercyon sternalis",1,1,98.1,1.9,1
"Cercyon tristis",2,1,96.2,3.8,2
"Ceriagrion tenellum",1,1,98.1,1.9,1
"Chaetarthria seminulum",8,4,88.7,11.3,6
"Chaetocladius piger",30,3,64.2,35.8,19
"Chaetogammarus trichiatus",8,3,88.7,11.3,6
"Chaetogaster cristallinus",1,1,98.1,1.9,1
"Chaetogaster diaphanus",4,2,92.5,7.5,4
"Chaetogaster diastrophus",1,1,98.1,1.9,1
"Chaetogaster limnaei",2,1,96.2,3.8,2
"Chaetopterygopsis maclachlani",6,1,88.7,11.3,6
"Chaetopteryx fusca",2,1,96.2,3.8,2
"Chaetopteryx major",6,3,88.7,11.3,6
"Chaetopteryx villosa",522,7,43.4,56.6,30
"Chalcolestes viridis",49,4,56.6,43.4,23
"Chaoborus crystallinus",14,3,81.1,18.9,10
"Chaoborus flavicans",61,3,64.2,35.8,19
"Chaoborus obscuripes",1,1,98.1,1.9,1
"Cheilotrichia cinerascens",1,1,98.1,1.9,1
"Chelicorophium robustum",76,4,71.7,28.3,15
"Chelicorophium sowinskyi",54,2,79.2,20.8,11
"Cheumatopsyche lepida",346,12,45.3,54.7,29
"Chimarra marginata",138,5,52.8,47.2,25
