"name","nsite1","nsite2","trend","p.value","std.error","MCP1","taxonKey","MCP2","order","family","perc_range_coverage"
"Anax imperator",7,42,-0.00646569743552839,0.190564348484342,0.00491710979077998,1292444053653.47,5051775,88921483520818,"Odonata","Aeshnidae",1.45
"Ancylus fluviatilis",119,710,-0.010929373180685,0.00737371238813003,0.00407584615009073,5082110097730.07,5189830,14879801451609.1,"Lymnaeida","Planorbidae",34.15
"Anisus septemgyratus",2,21,-0.00921515898493605,0.0974239139110374,0.0054190018055983,288427796808.453,4562148,2419182938821.33,"Lymnaeida","Planorbidae",11.92
"Anisus vortex",54,312,-0.0017611948782051,0.398856360706977,0.00208680920621191,1751159578435.36,4562141,7912146878247.99,"Lymnaeida","Planorbidae",22.13
"Anodonta anatina",1,63,0.00505404716857826,0.390353396201456,0.0057621888601288,1689952802545.03,4559631,29307591876945.6,"Unionida","Unionidae",5.77
"Anodonta cygnea",17,64,-0.0035172387166272,0.101614041585946,0.00214335075055817,1154139703019.08,4374774,8701175420625.21,"Unionida","Unionidae",13.26
"Anopheles maculipennis",3,19,0.0002342485991521,0.96449327562953,0.00524159256271225,530015511494.336,1650731,7776999824120.15,"Diptera","Culicidae",6.82
"Anopheles messeae",1,3,-0.00484726049820347,0.495034466215491,0.00695981224331855,55433509.6116263,1650482,5080389454659.68,"Diptera","Culicidae",0
"Antocha vitripennis",7,92,0.00200299764899816,0.790160370073873,0.00751356421119978,2047582219712.62,1514000,8185010939193.81,"Diptera","Limoniidae",25.02
"Apatania stigmatella",1,5,-0.0159035366841313,0.13478695765112,0.0102245435764269,5844019738.04792,1441166,1407994543906.15,"Trichoptera","Apataniidae",0.42
"Aphelocheirus aestivalis",8,94,0.0049742119413822,0.667977019690547,0.0115777299676015,2720595543092.94,4485511,6602980523705.55,"Hemiptera","Aphelocheiridae",41.2
"Aplexa hypnorum",8,24,-0.00325325928474772,0.338393743760702,0.00338916891768819,767637260981.384,2291096,10778287220899.6,"Lymnaeida","Physidae",7.12
"Apsectrotanypus trifascipennis",100,199,0.0179475520751257,4.04184159782774e-19,0.00199030106813918,592617829704.995,1450281,6240377525592.02,"Diptera","Chironomidae",9.5
"Aquarius najas",24,109,0.000921630203426118,0.863028401815798,0.0053397722008168,3014458861350.38,5866107,9057511562133.25,"Hemiptera","Gerridae",33.28
"Aquarius paludum",2,53,0.0224527489398652,0.0619866405394658,0.0117370174432268,359041554498.399,5866108,47959837995436.3,"Hemiptera","Gerridae",0.75
"Arctopelopia barbitarsis",1,5,0.0108264521722128,0.205122828227781,0.0082792283058511,1259620226.91559,1453074,3592549936267.67,"Diptera","Chironomidae",0.04
"Arctopsyche ladogensis",1,18,-0.00816547513646427,0.0866405790630872,0.00453135719931039,186733203719.012,1440188,34338668743946,"Trichoptera","Hydropsychidae",0.54
"Argulus foliaceus",3,7,-0.000287958666558466,0.911222628874707,0.00257293104698128,109102727179.03,4316776,4287267286391.3,"Arguloida","Argulidae",2.54
"Argyroneta aquatica",4,46,0.0115995008474098,0.168564533962098,0.00834556438753909,1901507329523.37,2179068,11784151461909.3,"Araneae","Dictynidae",16.14
"Asellus aquaticus",144,827,0.00169932091954749,0.520577573325245,0.00264474742996618,4326925238901.88,2206247,12211577704914.3,"Isopoda","Asellidae",35.43
"Astacus astacus",2,15,0.00498401529754945,0.174004061988714,0.00361180367623595,1230666445453.15,2226998,31456957818009.1,"Decapoda","Astacidae",3.91
"Atherix ibis",33,150,0.0120775806161283,3.36439341225282e-05,0.00289439171594792,3912784731475.97,1501514,11195394726422.8,"Diptera","Athericidae",34.95
"Atherix marginata",3,39,-0.0880763970989098,0.00031352958695591,0.0232253706818091,4135349380792.32,6098314,5703683780989.49,"Diptera","Athericidae",72.5
"Athripsodes albifrons",23,149,-0.0045657850482643,0.245834932884771,0.00392992489861342,1378858528937.05,1437103,8846850710173.05,"Trichoptera","Leptoceridae",15.59
"Athripsodes aterrimus",39,178,-0.00934538280515015,0.000149629578174557,0.00245366784390911,2186533122506.53,1437108,5623576672311.97,"Trichoptera","Leptoceridae",38.88
"Athripsodes bilineatus",2,127,0.00911298151251893,0.131187266718005,0.00590358118181465,2260709609639.71,1437150,5284539186462.33,"Trichoptera","Leptoceridae",42.78
"Athripsodes cinereus",43,323,0.0213432685491758,4.39142768774417e-09,0.00360328957367813,3077501487417.04,1437081,9187334007920.85,"Trichoptera","Leptoceridae",33.5
"Athripsodes commutatus",7,18,0.0487193806851692,6.2145228923322e-07,0.00935579200182584,328042151353.391,1437064,3507299584621.65,"Trichoptera","Leptoceridae",9.35
"Atrichops crassipes",3,15,0.017338061375664,0.186508152239284,0.012972461577155,1312922212334.4,1501358,2476377277360.69,"Diptera","Athericidae",53.02
"Atyaephyra desmarestii",13,45,-0.0351510223176891,3.97432936002293e-06,0.00748934794594305,591918991489.899,4309705,3637292507734.11,"Decapoda","Atyidae",16.27
"Aulodrilus japonicus",1,27,0.00849823180257819,0.159330696421803,0.00578852753751879,13795895516.1925,4410094,117687267861.899,"Tubificida","Naididae",11.72
"Aulodrilus pluriseta",3,21,0.006152302970197,0.747916624634583,0.0190592571533724,366605164899.424,2308594,8255523866175.5,"Tubificida","Naididae",4.44
"Baetis buceratus",8,89,0.0310117836054541,0.000212314008911468,0.0081897978691432,2188411581610.27,4481148,4915831768177.47,"Ephemeroptera","Baetidae",44.52
"Baetis fuscatus",13,108,-0.0480643271927637,9.45003144529266e-06,0.0106581085625165,4705501855351.31,4481156,21228420214580,"Ephemeroptera","Baetidae",22.17
"Baetis rhodani",158,787,0.0520843894500012,1.79519304140609e-44,0.00367149616824099,5125983874721.31,4481106,11107625312170.3,"Ephemeroptera","Baetidae",46.15
"Baetis scambus",8,184,-0.063858681558836,2.54890110427242e-06,0.0131454008177727,3150322570327.11,4481160,6530120109040.36,"Ephemeroptera","Baetidae",48.24
"Baetis subalpinus",8,32,0.0057301756156738,0.568107097012875,0.0100187822271414,461643686951.131,4481115,869198540613.522,"Ephemeroptera","Baetidae",53.11
"Baetis tracheatus",1,6,-0.00642746558499938,0.517294204694435,0.00976652022142183,293164568024.971,4481163,1181957548014.89,"Ephemeroptera","Baetidae",24.8
"Baetis vernus",41,313,-0.0150153993462393,1.35070168096528e-05,0.00343174517036309,3539483942283.74,4481086,13829053131528.8,"Ephemeroptera","Baetidae",25.59
"Bathyomphalus contortus",72,290,-0.0056871115784101,3.11149329669249e-05,0.00136152001170385,2685593788608.92,8028368,7552069524975.81,"Lymnaeida","Planorbidae",35.56
"Bdellocephala punctata",5,7,0.00157155212039226,0.398410943635814,0.00185431172377155,347268206515.488,2502946,4408655047345.9,"Tricladida","Dendrocoelidae",7.88
"Beraea maurus",1,32,0.0123903641579071,0.201291277364824,0.00934134084235651,1015884510966.57,5053155,4203740434314.49,"Trichoptera","Beraeidae",24.17
"Beraea pullata",8,27,0.00150917698514546,0.572865401998656,0.00267137410631218,605805947522.407,5053160,6550633975115.06,"Trichoptera","Beraeidae",9.25
